"filename", "language", "CSV", "JSON with Comments", "Jupyter", "Markdown", "Plain Text (PDF)", "BibTeX style", "BibTeX", "SVG", "XML", "LaTeX", "YAML", "comment", "blank", "total"
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\.github\workflows\blank.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\C_Scheepers_Research_Proposal.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 4057, 0, 0, 0, 0, 0, 0, 0, 41, 4098
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Abstract.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 2, 7, 55
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Acknowledgements.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 3, 11
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Appendices.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Chapter1.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 42, 217
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Chapter2.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 18, 88
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Chapter3.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Chapter4.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Chapter5.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 5, 13
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Chapter6.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 3, 11
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Chapters\Nomenclature.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 5, 46
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Document.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 29, 29, 181
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter1\Background\Cost_of_fixing_bugs\Cost_of_fixing_bugs.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 370
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter1\Background\Event_Log_Model\Event_Log_Model.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 918, 0, 0, 0, 0, 0, 0, 0, 6, 924
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter1\Background\IEEE_Model\IEEE_Model.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 463, 0, 0, 0, 0, 0, 0, 0, 1, 464
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter1\Background\Maintenance_flow\Maintenance_Flow.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 475, 0, 0, 0, 0, 0, 0, 0, 1, 476
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter1\Background\Ronga2018.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 1, 354
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter2\Flow_MVC_Architecture\Flow_MVC_Architecture.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 756, 0, 0, 0, 0, 0, 0, 0, 4, 760
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter2\SystemA_Architecture_Diagram\SystemA_Architecture_Diagram.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 777, 0, 0, 0, 0, 0, 0, 0, 4, 781
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Chapter2\SystemA_ERD_Basic\SystemA_ERD_Basic.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 645, 0, 0, 0, 0, 0, 0, 0, 4, 649
