SystemName,SubSystemId,Project,SystemId,Deleted,Priority
Energy | Systems | Monthly view,72,1,NULL,1,8
Energy | Systems | Daily,73,1,NULL,1,8
Energy | Systems | Report,83,1,NULL,1,8
Energy | Electricity | Costs,171,1,NULL,1,8
Energy | Electricity | Usage,172,1,NULL,1,8
Energy | Electricity | Account info,173,1,NULL,1,8
_UNLINK_20200910 | CustomViews | [Harmony] Compressed Air Analysis,191,1,NULL,0,0
_UNLINK_20200910 |  CustomViews | [Harmony] Energy Totals,192,1,NULL,0,0
_UNLINK_20220531 |  CustomViews | [Harmony] Kusasalethu services overview [DEMO],207,1,NULL,0,0
Energy | Electricity | Time-Of-Use,208,1,NULL,1,7
Energy | Risks | Carbon tax,209,1,NULL,1,7
Energy | Risks | Reactive power,210,1,NULL,1,7
Energy | Opportunities | Maximum demand,211,1,NULL,1,7
Energy | Risks | Electricity cost inflation,212,1,NULL,1,7
Energy | Opportunities | Potential initiatives,213,1,NULL,1,7
Energy | Opportunities | Tax Rebates,232,1,NULL,0,7
_UNLINK_20210528 | Operational Status | Operational Status [DEMO],253,1,NULL,0,0
_UNLINK_20210602 | Service delivery | Service delivery [DEMO],254,1,NULL,0,0
Energy | Electricity | Account analysis,257,1,NULL,1,7
Energy | Initiatives | Daily,258,1,NULL,1,7
Energy | Initiatives | Monthly view,259,1,NULL,1,7
Energy | Systems | Data analysis,268,1,NULL,1,7
Energy | Initiatives | Performance tracking,275,1,NULL,1,7
_UNLINK_20220603 | CustomViews | [Harmony] Kusasalethu [Live pages],279,1,NULL,0,0
_UNLINK_20200910 | CustomViews | [Harmony] Production performance [DEMO],284,1,NULL,0,0
_UNLINK_20220603 | CustomViews | [Harmony] Tshepong,285,1,NULL,0,0
_UNLINK_20190927 | CustomViews | [Harmony] COO [DEMO][UserLoginLanding],290,1,NULL,0,0
_UNLINK_20190927 | CustomViews | [Harmony] Engineer [DEMO][UserLoginLanding],291,1,NULL,0,0
Energy | Electricity | Summary [Duplicate Sub],305,1,NULL,1,5
Energy | Risks | Summary [Duplicate Sub],306,1,NULL,1,5
Energy | Opportunities | Summary [Duplicate Sub],307,1,NULL,1,5
_RETIRED_20210609 | Environment | Operations,310,1,NULL,0,0
_RETIRED_20210609 | Environment | Land Management,314,1,NULL,0,0
_UNLINK_20190927 | Environment | Report,315,1,NULL,0,0
Environment | Overview | Diesel,316,2,NULL,1,9
Environment | Overview | Electricity,317,2,NULL,1,9
Environment | Overview | Explosives,318,2,NULL,1,9
Environment | Overview | Liquid cyanide,319,2,NULL,1,9
Environment | Overview | Petrol,320,2,NULL,1,9
_RETIRED_20210609 | Environment | Overview | Scrap plastic,321,1,NULL,0,0
Environment | Overview | Scrap steel,322,2,NULL,1,9
_RETIRED_20210609 | Environment | Overview | Scrap timber,323,1,NULL,0,0
Environment | Overview | Tonnes treated,324,2,NULL,1,9
Environment | Overview | Total CO2,325,2,NULL,1,9
Environment | Overview | Water,326,2,NULL,1,9
_RETIRED_20210609 | Environment | Land Management | Detail,327,1,NULL,0,0
Energy | Systems | Daily (Horizons),333,1,NULL,1,6
Energy | Initiatives | Report,336,1,NULL,1,8
Water | Initiatives | Monthly,343,1,NULL,1,6
Water | Initiatives | Daily,344,1,NULL,1,6
_UNLINK_20200930 | CustomViews | [Lonmin] Karee [Live pages],361,1,NULL,0,0
_UNLINK_20200930 | CustomViews | [Lonmin] Production performance [DEMO],362,1,NULL,0,0
_UNLINK_20200930 | CustomViews | [Lonmin] Compressed air [DEMO],363,1,NULL,0,0
_UNLINK_20200930 | CustomViews | [Lonmin] Water [DEMO],364,1,NULL,0,0
_UNLINK_20200930 | CustomViews | [Lonmin] Electricity [DEMO],365,1,NULL,0,0
_UNLINK_20200930 | CustomViews | [Lonmin] Compressed air consumption [DEMO],366,1,NULL,0,0
>UNLINK_20210621 | Efficiency Initiatives (Yearly) | Daily,382,1,NULL,0,0
_UNLINK_20200904 | Assets | Efficiency [Monitoring] (MTB2),405,2,NULL,0,0
_UNLINK_20200904 | Assets | Skip Spillage [Monitoring] (MTB2),406,2,NULL,0,0
_UNLINK_20200904 | Assets | Water Quality [Monitoring] (MTB2),407,2,NULL,0,0
_UNLINK_20210301 | Water | [Harmony] Water Build Up [Demo],408,2,NULL,0,0
Maintenance initiatives | Performance overview,411,1,NULL,1,9
_UNLINK_20210827 CustomViews | [Sibanye] Commodity tracking,414,2,NULL,0,0
_RETIRED_20210913| Environment | [Sasol] GHG overview [DEMO],415,1,NULL,0,0
_UNLINK_20200701 | Environment | [Sasol] Carbon tax overview [DEMO],416,1,NULL,0,0
Air | Initiatives | Daily,420,1,NULL,1,5
Air | Initiatives | Monthly,421,1,NULL,1,5
_UNLINK_20200930 | CustomViews | [Lonmin] EPL [Live pages],422,1,NULL,0,0
Energy | Systems Tracker | Report,423,1,NULL,1,6
Energy | Systems Tracker | Monthly view,424,1,NULL,1,6
Energy | Systems Tracker | Daily,425,1,NULL,1,6
_UNLINK_20210602 | Service delivery | Services [Monitoring] (MTB2),427,2,NULL,0,0
_UNLINK_20200930 | CustomViews | [Lonmin] Marikana Smelter,429,2,NULL,0,0
PTB Viewer | [Harmony] Digital Twin (Demo),430,2,NULL,0,9
>UNLINK_20210610 | Assets | Water reticulation [Monitoring] (MTB2),431,2,NULL,0,0
_RETIRED_20210602 | ServiceDelivery | Water | Daily,433,1,NULL,0,0
_RETIRED_20210602 | ServiceDelivery | Water | Monthly,434,1,NULL,0,0
_RETIRED_20210602 | ServiceDelivery | Compressed Air | Daily,436,1,NULL,0,0
_RETIRED_20210602 | ServiceDelivery | Compressed Air | Monthly,437,1,NULL,0,0
_RETIRED_20210602 | ServiceDelivery | Cooling | Daily,439,1,NULL,0,0
