System,SubSystem
LoginPage,/Login/Authenticate
LoginPage,/POPI
ASTIR,/ASTIR/
ASTIR,/ASTIR/TagDataViewer/
ASTIR,/ASTIR/TagDataViewer/SearchTags
ASTIR,/ASTIR/TagDataViewer/GetTagDataValues
Support,/Support/Tickets/
Support,/Support/Tickets/ReopenTicket
Support,/Support/Tickets/GetAssignedUsers
Support,/Support/Tickets/GetAllApprovedUsers
Support,/Support/Tickets/GetAllSupervisor
Support,/Support/Tickets/GetInformedUsers
Support,/Support/Tickets/AddComment
Support,/Support/Tickets
Support,/Support/Tickets/LoadTicketSummary
Support,/Support/Tickets/CloseTicket
ASTIR,/CustomTagListsBase/GetAstirReports
ASTIR,/CustomTagListsBase/GetTagLists
Support,/Support/Tickets/UpdateTitle
ASTIR,/Login/Authenticate
ASTIR,/ASTIR/ImportData/
NULL,/Login/Authenticate
ASTIR,/ASTIR/ExportData/
ASTIR,/ASTIR/ExportData/ReadTagInfo/
ASTIR,/ASTIR/ExportData/GetTagFile
ASTIR,/ASTIR/ExportData
ASTIR,/ASTIR/TagDataViewer
ASTIR,/Login/Logout
EfficiencyServices,/EfficiencyServices/
EfficiencyServices,/EfficiencyServices/EngineeringNoteLinkProject/
EfficiencyServices,/EfficiencyServices/EngineeringNoteLinkProject/GetTreeStructuresByGroupID
EfficiencyServices,/EfficiencyServices/EngineeringNoteLinkProject/GetProjects
EfficiencyServices,/EfficiencyServices/EngineeringNoteLinkProject/ReadEntries
WorkLog,/WorkLog/
WorkLog,/WorkLog/GetTaskCategoryDetails
WorkLog,/WorkLog/GetLogEntries
WorkLog,/WorkLog/WorkLogDailyViewer/ReadEntries
WorkLog,/WorkLog
WorkLog,/WorkLog/GetSiteDetails
WorkLog,/WorkLog/GetContractDetails
WorkLog,/WorkLog/CreateLogEntries
WorkLog,/WorkLog/UpdateLogEntries
EfficiencyServices,/EfficiencyServices/LoadCurtailmentDataInput
EfficiencyServices,/EfficiencyServices/LoadCurtailmentDataInput/ReadEntries
Support,/Login/ExtendSession
ASTIR,/ASTIR/ManageReports
ASTIR,/ASTIR/ManageReports/GetLogDetails
ASTIR,/ASTIR/ManageReports/GetLinkedUsers
ASTIR,/ASTIR/ManageReports/ReadMyTriggers
ASTIR,/ASTIR/ManageReports/GetLinkedContributors
ASTIR,/ASTIR/ManageReports/LinkAction
ASTIR,/ASTIR/ManageReports/GetUnLinkedUsers
ASTIR,/ASTIR/ManageReports/ReadEntries
ASTIR,/ASTIR/ManageReports/ReportAccessRequestTicketsExist
ASTIR,/ASTIR/ManageReports/UpdateReport/
EfficiencyServices,/EfficiencyServices/PTBAlertViewer/
EfficiencyServices,/EfficiencyServices/PTBAlertViewer/GetSites
EfficiencyServices,/EfficiencyServices/PTBAlertViewer/GetSiteChildObjects/
EfficiencyServices,/EfficiencyServices/PTBAlertViewer/ReadEntries
EfficiencyServices,/EfficiencyServices/PTBAlertViewer/GetCalcDataForNotification/
EfficiencyServices,/EfficiencyServices/PTBAlertViewer/GetTagDataForNotification/
EfficiencyServices,/EfficiencyServices/PTBAlertViewer/ReadAppNotificationLogEntries
NULL,/ResetPassword/
UsageMetrics,/UsageMetrics/
UsageMetrics,/UsageMetrics/GetReportEmbeddingCode
Dashboard,/SmartViews/
NULL,/SmartViews/ReadPowerBIReports
NULL,/SmartViews/GetRefreshHistory
