ID,Time,SubSystemId,UserId,ViewAsID,ActivityType
2224276,2022-10-01 00:00,735,493,497,Dash
2224277,2022-10-01 00:01,593,612,983,Dash
2224278,2022-10-01 00:01,735,493,497,Dash
2224279,2022-10-01 00:02,735,493,497,Dash
2224280,2022-10-01 00:02,735,493,497,Dash
2224281,2022-10-01 00:02,735,493,497,Dash
2224282,2022-10-01 00:02,582,612,615,Dash
2224283,2022-10-01 00:03,735,493,497,Dash
2224284,2022-10-01 00:04,412,1003,1003,Dash
2224285,2022-10-01 00:06,570,612,613,Dash
2224286,2022-10-01 00:07,412,961,961,Dash
2224287,2022-10-01 00:07,582,612,615,Dash
2224288,2022-10-01 00:08,580,612,616,Dash
2224289,2022-10-01 00:11,593,612,983,Dash
2224290,2022-10-01 00:12,582,612,615,Dash
2224291,2022-10-01 00:16,570,612,613,Dash
2224292,2022-10-01 00:16,432,998,998,Dash
2224293,2022-10-01 00:18,582,612,615,Dash
2224294,2022-10-01 00:18,580,612,616,Dash
2224295,2022-10-01 00:21,593,612,983,Dash
2224296,2022-10-01 00:23,582,612,615,Dash
2224297,2022-10-01 00:26,570,612,613,Dash
2224298,2022-10-01 00:28,582,612,615,Dash
2224299,2022-10-01 00:28,580,612,616,Dash
2224300,2022-10-01 00:31,593,612,983,Dash
2224301,2022-10-01 00:32,412,967,967,Dash
2224302,2022-10-01 00:33,582,612,615,Dash
2224303,2022-10-01 00:36,570,612,613,Dash
2224304,2022-10-01 00:38,582,612,615,Dash
2224305,2022-10-01 00:38,580,612,616,Dash
2224306,2022-10-01 00:41,593,612,983,Dash
2224307,2022-10-01 00:43,582,612,615,Dash
2224308,2022-10-01 00:43,225,682,19,Dash
2224309,2022-10-01 00:43,288,682,19,Dash
2224310,2022-10-01 00:44,72,682,19,Dash
2224311,2022-10-01 00:46,570,612,613,Dash
2224312,2022-10-01 00:48,582,612,615,Dash
2224313,2022-10-01 00:48,580,612,616,Dash
2224314,2022-10-01 00:51,593,612,983,Dash
2224315,2022-10-01 00:53,582,612,615,Dash
2224316,2022-10-01 00:54,72,682,19,Dash
2224317,2022-10-01 00:54,417,682,19,Dash
2224318,2022-10-01 00:55,577,612,614,Dash
2224319,2022-10-01 00:56,570,612,613,Dash
2224320,2022-10-01 00:57,417,682,19,Dash
2224321,2022-10-01 00:58,582,612,615,Dash
2224322,2022-10-01 00:58,580,612,616,Dash
2224323,2022-10-01 01:01,593,612,983,Dash
2224324,2022-10-01 01:03,582,612,615,Dash
2224325,2022-10-01 01:05,577,612,614,Dash
2224326,2022-10-01 01:06,570,612,613,Dash
2224327,2022-10-01 01:08,582,612,615,Dash
2224328,2022-10-01 01:08,580,612,616,Dash
2224329,2022-10-01 01:11,593,612,983,Dash
2224330,2022-10-01 01:13,582,612,615,Dash
2224331,2022-10-01 01:15,577,612,614,Dash
2224332,2022-10-01 01:16,570,612,613,Dash
2224333,2022-10-01 01:18,582,612,615,Dash
2224334,2022-10-01 01:18,580,612,616,Dash
2224335,2022-10-01 01:21,593,612,983,Dash
2224336,2022-10-01 01:23,582,612,615,Dash
2224337,2022-10-01 01:25,577,612,614,Dash
2224338,2022-10-01 01:26,570,612,613,Dash
2224339,2022-10-01 01:28,582,612,615,Dash
2224340,2022-10-01 01:28,580,612,616,Dash
2224341,2022-10-01 01:31,593,612,983,Dash
2224342,2022-10-01 01:33,582,612,615,Dash
2224343,2022-10-01 01:35,577,612,614,Dash
2224344,2022-10-01 01:36,570,612,613,Dash
2224345,2022-10-01 01:36,538,1003,1003,Dash
2224346,2022-10-01 01:38,582,612,615,Dash
2224347,2022-10-01 01:38,580,612,616,Dash
2224348,2022-10-01 01:41,593,612,983,Dash
2224349,2022-10-01 01:43,582,612,615,Dash
2224350,2022-10-01 01:45,577,612,614,Dash
2224351,2022-10-01 01:46,570,612,613,Dash
2224352,2022-10-01 01:48,582,612,615,Dash
2224353,2022-10-01 01:48,580,612,616,Dash
2224354,2022-10-01 01:51,593,612,983,Dash
2224355,2022-10-01 01:53,582,612,615,Dash
2224356,2022-10-01 01:55,577,612,614,Dash
2224357,2022-10-01 01:56,570,612,613,Dash
2224358,2022-10-01 01:58,582,612,615,Dash
2224359,2022-10-01 01:58,580,612,616,Dash
2224360,2022-10-01 02:01,593,612,983,Dash
2224361,2022-10-01 02:03,582,612,615,Dash
