laa_ID,laa_TimeStamp,laa_Area,laa_Controller,fk_u_ID,laa_ActivityType,fk_g_ID
8356845,2022-10-01 00:04,LoginPage,/Login/Authenticate,NULL,LoginAttempt,NULL
8356846,2022-10-01 00:04,LoginPage,/POPI,493,MenuAccessed,NULL
8356847,2022-10-01 00:04,ASTIR,/ASTIR/,493,MenuAccessed,NULL
8356848,2022-10-01 00:04,ASTIR,/ASTIR/TagDataViewer/,493,MenuAccessed,NULL
8356849,2022-10-01 00:05,ASTIR,/ASTIR/TagDataViewer/SearchTags,493,SpanClicked,14
8356850,2022-10-01 00:05,ASTIR,/ASTIR/TagDataViewer/GetTagDataValues,493,SpanClicked,14
8356851,2022-10-01 00:53,LoginPage,/Login/Authenticate,NULL,LoginAttempt,NULL
8356852,2022-10-01 00:53,LoginPage,/Login/Authenticate,NULL,LoginAttempt,NULL
8356853,2022-10-01 00:53,LoginPage,/POPI,682,MenuAccessed,2
8356854,2022-10-01 00:56,ASTIR,/ASTIR/,682,MenuAccessed,2
8356855,2022-10-01 01:01,LoginPage,/Login/Authenticate,NULL,LoginAttempt,NULL
8356856,2022-10-01 01:01,LoginPage,/POPI,493,MenuAccessed,NULL
8356857,2022-10-01 01:01,Support,/Support/Tickets/,493,MenuAccessed,NULL
8356858,2022-10-01 01:02,Support,/Support/Tickets/ReopenTicket,493,ButtonClicked,NULL
8356859,2022-10-01 01:02,Support,/Support/Tickets/GetAssignedUsers,493,CustomControls,NULL
8356860,2022-10-01 01:02,Support,/Support/Tickets/GetAllApprovedUsers,493,CustomControls,NULL
8356861,2022-10-01 01:02,Support,/Support/Tickets/GetAllSupervisor,493,CustomControls,NULL
8356862,2022-10-01 01:02,Support,/Support/Tickets/GetInformedUsers,493,CustomControls,NULL
8356863,2022-10-01 01:02,Support,/Support/Tickets/AddComment,493,ButtonClicked,NULL
8356864,2022-10-01 01:02,Support,/Support/Tickets,493,MenuAccessed,NULL
8356865,2022-10-01 01:02,Support,/Support/Tickets/LoadTicketSummary,493,HyperLinkClicked,NULL
8356866,2022-10-01 01:02,Support,/Support/Tickets,493,MenuAccessed,NULL
8356867,2022-10-01 01:03,Support,/Support/Tickets/ReopenTicket,493,ButtonClicked,NULL
8356868,2022-10-01 01:03,Support,/Support/Tickets/GetAssignedUsers,493,CustomControls,NULL
8356869,2022-10-01 01:03,Support,/Support/Tickets/GetAllApprovedUsers,493,CustomControls,NULL
8356870,2022-10-01 01:03,Support,/Support/Tickets/GetAllSupervisor,493,CustomControls,NULL
8356871,2022-10-01 01:03,Support,/Support/Tickets/GetInformedUsers,493,CustomControls,NULL
8356872,2022-10-01 01:03,Support,/Support/Tickets/AddComment,493,ButtonClicked,NULL
8356873,2022-10-01 01:03,Support,/Support/Tickets,493,MenuAccessed,NULL
8356874,2022-10-01 01:03,Support,/Support/Tickets/ReopenTicket,493,ButtonClicked,NULL
8356875,2022-10-01 01:03,Support,/Support/Tickets/GetAssignedUsers,493,CustomControls,NULL
8356876,2022-10-01 01:03,Support,/Support/Tickets/GetAllApprovedUsers,493,CustomControls,NULL
8356877,2022-10-01 01:03,Support,/Support/Tickets/GetAllSupervisor,493,CustomControls,NULL
8356878,2022-10-01 01:03,Support,/Support/Tickets/GetInformedUsers,493,CustomControls,NULL
8356879,2022-10-01 01:03,Support,/Support/Tickets/AddComment,493,ButtonClicked,NULL
8356880,2022-10-01 01:04,Support,/Support/Tickets,493,MenuAccessed,NULL
8356881,2022-10-01 01:04,Support,/Support/Tickets/GetAssignedUsers,493,CustomControls,NULL
