laa_ID,laa_TimeStamp,laa_Area,fk_u_ID,laa_Controller,laa_ActivityType,fk_g_ID
8384027,2022-10-05 00:04,Support,1207,/Support/Tickets,MenuAccessed,NULL
8384028,2022-10-05 00:04,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8384029,2022-10-05 00:04,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8384030,2022-10-05 00:04,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8384031,2022-10-05 00:04,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8384032,2022-10-05 00:04,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8384033,2022-10-05 00:05,Support,1207,/Support/Tickets,MenuAccessed,NULL
8384034,2022-10-05 00:07,Support,1207,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8384035,2022-10-05 00:08,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8384036,2022-10-05 00:08,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8384037,2022-10-05 00:08,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8384038,2022-10-05 00:08,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8384039,2022-10-05 00:08,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8384040,2022-10-05 00:08,Support,1207,/Support/Tickets,MenuAccessed,NULL
8384041,2022-10-05 00:09,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8384042,2022-10-05 00:09,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8384043,2022-10-05 00:09,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8384044,2022-10-05 00:09,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8384045,2022-10-05 00:09,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8384046,2022-10-05 00:09,Support,1207,/Support/Tickets,MenuAccessed,NULL
8384047,2022-10-05 00:09,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8384048,2022-10-05 00:09,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8384049,2022-10-05 00:09,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8384050,2022-10-05 00:09,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8384051,2022-10-05 00:09,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8384052,2022-10-05 00:26,Support,1207,/Support/Tickets,MenuAccessed,NULL
8384053,2022-10-05 00:27,Support,1207,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8384054,2022-10-05 00:27,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8384055,2022-10-05 00:27,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8384056,2022-10-05 00:27,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8384057,2022-10-05 00:27,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8384058,2022-10-05 00:27,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8384059,2022-10-05 00:28,Support,1207,/Support/Tickets,MenuAccessed,NULL
8384060,2022-10-05 00:28,Support,1207,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8384061,2022-10-05 00:29,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8384062,2022-10-05 00:29,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8384063,2022-10-05 00:29,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8384064,2022-10-05 00:29,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8384065,2022-10-05 00:29,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8384066,2022-10-05 00:29,Support,1207,/Support/Tickets,MenuAccessed,NULL
8384067,2022-10-05 00:30,Support,1207,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8384068,2022-10-05 00:30,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8384069,2022-10-05 00:30,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8384070,2022-10-05 00:30,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8384071,2022-10-05 00:30,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8384072,2022-10-05 00:30,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
